Rank,Year,Position,Name,Age,Games,Plate_Appearances,At_Bats,Runs,Hits,Doubles,Triples,Home_Runs,Runs_Batted_In,Stolen_Bases,Caught_Stealing,Base_On_Balls,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Percentage,On_Base_Plus_Slugging_Percentage_Plus,Total_Bases,Double_Plays_Grounded_Into,Times_Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Intentional_Bases_on_Balls,Dominant_Hand,Switch_Hitter,Birth_Country,Salary,Contract_Type
1,2023,C,Will Smith,28,126,554,464,80,121,21,2,19,76,3,0,63,89,0.261,0.359,0.438,0.797,114,203,8,15,0,12,2,Right,No,USA,12005000.0,Mid
2,2023,1B,Freddie Freeman,33,161,730,637,131,211,59,2,29,102,23,1,72,121,0.331,0.41,0.567,0.976,161,361,14,16,0,5,12,Left,No,USA,22813000.0,Star
3,2023,2B,Miguel Vargas,23,81,304,256,36,50,15,4,7,32,3,2,38,61,0.195,0.305,0.367,0.672,81,94,1,4,1,4,1,Right,No,Cuba,3400000.0,Arbitration
4,2023,SS,Miguel Rojas,34,124,423,385,49,91,16,1,5,31,8,3,26,48,0.236,0.29,0.322,0.612,66,124,12,5,2,5,0,Right,No,Venezuela,5669000.0,Arbitration
5,2023,3B,Max Muncy,32,135,579,482,95,102,17,1,36,105,1,2,85,153,0.212,0.333,0.475,0.808,115,229,8,6,0,6,4,Left,No,USA,15065000.0,Star
6,2023,LF,David Peralta,35,133,422,394,47,102,25,1,7,55,4,1,20,72,0.259,0.294,0.381,0.675,81,150,8,2,0,6,1,Left,No,Venezuela,4384000.0,Arbitration
7,2023,CF,James Outman,26,151,567,483,86,120,16,3,23,70,16,3,68,181,0.248,0.353,0.437,0.79,112,211,4,12,0,4,1,Left,No,USA,9012000.0,Mid
8,2023,RF,Mookie Betts,30,152,693,584,126,179,40,1,39,107,14,3,96,107,0.307,0.408,0.579,0.987,163,338,5,8,0,5,3,Right,No,USA,29731000.0,Superstar
9,2023,DH,J.D. Martinez,35,113,479,432,61,117,27,2,33,103,1,0,34,149,0.271,0.321,0.572,0.893,134,247,11,2,0,9,1,Right,No,USA,12192000.0,Mid
10,2023,UT,Chris Taylor,32,117,384,338,51,80,15,1,15,56,16,3,41,125,0.237,0.326,0.42,0.746,100,142,2,4,0,1,2,Right,No,USA,11915000.0,Mid
11,2023,RF,Jason Heyward,33,124,377,334,56,90,23,0,15,40,2,2,34,64,0.269,0.34,0.473,0.813,117,158,7,3,0,3,1,Left,No,USA,20080000.0,Star
12,2023,C,Austin Barnes,33,59,200,178,15,32,5,0,2,11,2,1,17,43,0.18,0.256,0.242,0.498,36,43,7,2,1,2,0,Right,No,USA,2821000.0,Arbitration
13,2023,UT,Enrique Hernández,31,54,185,168,19,44,12,0,5,30,1,0,12,29,0.262,0.308,0.423,0.731,95,71,6,1,0,4,1,Right,No,Puerto Rico,11844000.0,Mid
14,2023,2B,Amed Rosario,27,48,133,125,19,32,6,2,3,18,6,2,7,22,0.256,0.301,0.408,0.709,89,51,4,1,0,0,0,Right,No,Dominican Republic,10449000.0,Mid
15,2023,OF,Trayce Thompson,32,36,87,71,12,11,0,0,5,14,0,0,15,37,0.155,0.31,0.366,0.677,82,26,0,1,0,0,0,Right,No,USA,853000.0,Rookie
16,2023,IF,Michael Busch,25,27,81,72,9,12,3,0,2,7,1,0,8,27,0.167,0.247,0.292,0.539,45,21,0,0,0,1,0,Left,No,USA,908000.0,Rookie
17,2023,OF,Jonny Deluca,24,24,45,42,5,11,1,0,2,6,1,0,3,8,0.262,0.311,0.429,0.74,97,18,0,0,0,0,0,Right,No,USA,843000.0,Rookie
18,2023,2B,Kolten Wong,32,20,34,30,4,9,0,0,2,8,2,1,2,7,0.3,0.353,0.5,0.853,127,15,1,1,0,1,0,Left,No,USA,727000.0,Rookie
19,2023,IF,Yonny Hernández,25,14,27,22,5,3,1,0,0,4,0,0,2,8,0.136,0.231,0.182,0.413,14,4,0,1,1,1,0,Right,Yes,Venezuela,921000.0,Rookie
20,2023,C,Austin Wynns,32,5,12,11,0,2,1,0,0,2,0,0,1,5,0.182,0.25,0.273,0.523,42,3,0,0,0,0,0,Right,No,Cuba,869000.0,Rookie
21,2023,SS,Luke Williams,26,4,10,10,0,1,0,0,0,0,1,0,0,3,0.1,0.1,0.1,0.2,-46,1,0,0,0,0,0,Right,No,USA,866000.0,Rookie
22,2023,CF,Jake Marisnick,32,4,6,5,0,2,0,0,0,0,0,1,0,0,0.4,0.5,0.4,0.9,149,2,0,1,0,0,0,Right,No,Dominican Republic,767000.0,Rookie
23,2023,P,Shelby Miller,32,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No,Dominican Republic,862000.0,Rookie
24,2023,P,Michael Grove,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,805000.0,Rookie
25,2023,P,Dustin May,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,Venezuela,861000.0,Rookie
26,2023,P,Noah Syndergaard,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,Puerto Rico,743000.0,Rookie
27,2023,P,Jake Reed,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,Dominican Republic,862000.0,Rookie
28,2023,P,Julio Urías,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,Dominican Republic,936000.0,Rookie
29,2023,P,Dylan Covey,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,Puerto Rico,730000.0,Rookie
30,2023,P,Gavin Stone,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,South Korea,931000.0,Rookie
31,2023,P,Gus Varland,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,USA,808000.0,Rookie
32,2023,P,Wander Suero,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,908000.0,Rookie
33,2023,P,Bryan Hudson,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,USA,889000.0,Rookie
34,2023,P,Tayler Scott,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,842000.0,Rookie
35,2023,P,Phil Bickford,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,880000.0,Rookie
36,2023,P,Justin Bruihl,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,Puerto Rico,910000.0,Rookie
37,2023,P,Lance Lynn,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,Yes,USA,807000.0,Rookie
38,2023,P,Kyle Hurt,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,791000.0,Rookie
39,2023,P,Tyler Cyr,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,864000.0,Rookie
40,2023,P,Victor González,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,Dominican Republic,894000.0,Rookie
41,2023,P,Tyson Miller,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,885000.0,Rookie
42,2023,P,Nick Robertson,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,892000.0,Rookie
43,2023,P,Joe Kelly,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,814000.0,Rookie
